2023-11-21 13:29:00,117 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:29:18,239 | INFO | hellow world
2023-11-21 13:29:18,239 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:29:18,251 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:29:19,304 | INFO | creating a stage in snowflake
2023-11-21 13:29:19,304 | INFO | query exicution start
2023-11-21 13:29:19,318 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:29:19,508 | INFO | query execution done
2023-11-21 13:29:19,572 | INFO | closed
2023-11-21 13:29:19,572 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:29:36,653 | INFO | hellow world
2023-11-21 13:29:36,653 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:29:36,653 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:29:37,840 | INFO | creating a stage in snowflake
2023-11-21 13:29:37,840 | INFO | query exicution start
2023-11-21 13:29:37,840 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:29:38,036 | INFO | query execution done
2023-11-21 13:29:38,036 | INFO | Number of results in first chunk: 1
2023-11-21 13:29:38,036 | INFO | making keys lower
2023-11-21 13:29:38,036 | INFO | putting data into stage
2023-11-21 13:29:38,036 | INFO | query exicution start
2023-11-21 13:29:38,036 | INFO | query: [put file://../files/SalesData - SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_ST...]
2023-11-21 13:29:38,159 | INFO | query execution done
2023-11-21 13:29:38,238 | INFO | closed
